Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1987,04/22/1988,"Blessing, Harold O.",Cattaraugus,BRADFORD,3,0,NO
1998,05/25/1999,"Curtis & Son Oil, Inc.",Chautauqua,BUSTI,25,3,NO
1988,05/01/1989,"Forrestel, Richard E",Erie,AKRON,0,0,YES
1991,03/02/1992,Clover Oil & Gas Co.,Genesee,ALDEN-LANCASTER,0,0,NO
1998,05/20/1999,"Texas Keystone, Inc.",Cattaraugus,UNNAMED,0,0,INACTIVE
1994,01/31/1995,"Ebenezer Oil Co., Inc.",Allegany,RICHBURG,34,0,NO
1993,03/11/1994,"Kidder Exploration, Inc.",Chautauqua,LAKESHORE,0,0,NO
1984,04/04/1985,Gypsum Energy Management Co.,Genesee,INDIAN FALLS,0,0,NO
1983,02/28/1984,"Eclipse Management Assoc., Inc",Chautauqua,LAKESHORE,0,0,NO
1991,03/10/1992,"Keystone Energy Oil & Gas, Inc",Cattaraugus,LAKESHORE,0,0,INACTIVE
1993,01/14/1994,Birch Run Putt Farm,Cattaraugus,BRADFORD,2,0,NO
1993,03/24/1994,Permclip Products Corporation,Erie,BUFFALO,0,0,INACTIVE
1972,09/20/1994,"Brown, Maude S.",Allegany,RICHBURG,1,1,NO
1988,04/12/1989,Terra Energy,Chautauqua,LAKESHORE,0,0,NO
1991,03/13/1992,National Fuel Gas Supply Corp.,Allegany,STATE LINE,0,0,NO
1996,10/14/1997,"Woodward Pipeline, Inc.",Erie,NORTH COLLINS,0,0,NO
1994,03/02/1995,Don-Bess Energy Develop. Co.,Allegany,RICHBURG,2,1,NO
1981,06/02/1994,Ketchurian & Co.,Chautauqua,LAKESHORE,0,0,NO
1998,05/20/1999,"Country Side Sand & Gravel, Inc",Cattaraugus,LAKESHORE,0,0,YES
1985,03/28/1986,Annex Oil Co.,Allegany,CLARKSVILLE,0,9,INACTIVE
1994,09/18/1995,"Uhl, Donna M.",Cattaraugus,CHIPMUNK,4,0,NO
1975,08/31/1994,"Chapman,  C.W.",Chautauqua,BUSTI,0,1,INACTIVE
1976,08/24/1994,Roy G. Stephan,Cattaraugus,BRADFORD,7,16,NO
1993,08/17/2001,Transfuel Resources Co.,Chautauqua,CLYMER,0,0,NO
1997,07/21/1998,Eastern American Energy Corp.,Cattaraugus,,1,0,NO
1968,10/05/1994,"Yahn & Yahn, Inc.",Steuben,BEECH HILL-INDEPENDENCE,10,0,NO
1993,01/21/1994,"Hickey, Kevin F. & Mary",Erie,ALDEN-LANCASTER,0,0,INACTIVE
1991,02/11/1992,Gerald M. & Jewell F. Mooney Revoc. Living Trust,Chautauqua,LAKESHORE,0,0,YES
1992,03/30/1993,Gemini Oil Company,Chautauqua,BUSTI,23,0,NO
1992,05/06/1993,TGX Corp.,Erie,EAST AURORA,0,0,YES
1991,01/31/1992,"Ebenezer Oil Co., Inc.",Allegany,RICHBURG,34,0,NO
1983,04/24/1984,"Reserve Gas Company, Inc.",Erie,ALDEN-LANCASTER,0,0,YES
1984,04/12/1985,"Doran & Associates, Inc.",Chautauqua,CLYMER,4,0,NO
